# Sanskrit syllabaries

pa-2	pTag fvs1 a r yTag fvs1 space pTag fvs1 a r yTag fvs1 lvs space pTag fvs1 a l yTag fvs1 space pTag fvs1 a l yTag fvs1 lvs	Bh A R Ir - Bh A R Ir Lv - Bh A L Ir - Bh A L Ir Lv
pa-3	pTag fvs1 e space pTag fvs1 e e space pTag fvs1 o space pTag fvs1 o o	Bh E - Bh E E - Bh Ob - Bh Ob Ob

pha-1	p fvs1 a space p fvs1 a lvs space p fvs1 i space p fvs1 i lvs space p fvs1 ue space p fvs1 ue lvs	Ph Aa - Ph A Aa Lv - Ph Ip - Ph Ip Iy Lv - Ph O - Ph O Lv
pha-2	p fvs1 a r yTag fvs1 space p fvs1 a r yTag fvs1 lvs space p fvs1 a l yTag fvs1 space p fvs1 a l yTag fvs1 lvs	Ph A R Ir - Ph A R Ir Lv - Ph A L Ir - Ph A L Ir Lv
pha-3	p fvs1 e space p fvs1 e e space p fvs1 o space p fvs1 o o	Ph E - Ph E E - Ph Ob - Ph Ob Ob

ba-1	b a space b a lvs space b i space b i lvs space b ue space b ue lvs	B Aa - B A Aa Lv - B Ip - B Ip Iy Lv - B O - B O Lv
ba-2	b a r yTag fvs1 space b a r yTag fvs1 lvs space b a l yTag fvs1 space b a l yTag fvs1 lvs	B A R Ir - B A R Ir Lv - B A L Ir - B A L Ir Lv
ba-3	b e space b e e space b o space b o o	B E - B E E - B Ob - B Ob Ob

bha-1	b hTag a fvs1 space b hTag a fvs1 lvs space b hTag i space b hTag i lvs space b hTag ue space b hTag ue lvs	B Hr Aa - B Hr Aa Lv - B Hr I3 - B Hr I3 Lv - B Hr U - B Hr U Lv
bha-2	b hTag a r yTag fvs1 space b hTag a r yTag fvs1 lvs space b hTag a l yTag fvs1 space b hTag a l yTag fvs1 lvs	B Hr A R Ir - B Hr A R Ir Lv - B Hr A L Ir - B Hr A L Ir Lv
bha-3	b hTag e space b hTag e e space b hTag o space b hTag o o	B Hr E - B Hr E E - B Hr Ob - B Hr Ob Ob

ma-1	m a fvs1 space m a fvs1 lvs space m i space m i lvs space m ue space m ue lvs	M Aa - M Aa Lv - M I3 - M I3 Lv - M U - M U Lv
ma-2	m a r yTag fvs1 space m a r yTag fvs1 lvs space m a l yTag fvs1 space m a l yTag fvs1 lvs	M A R Ir - M A R Ir Lv - M A L Ir - M A L Ir Lv
ma-3	m e space m e e space m o space m o o	M E - M E E - M Ob - M Ob Ob

ya-1	y a fvs1 space y a fvs1 lvs space y i space y i lvs space y ue space y ue lvs	I Aa - I Aa Lv - I I3 - I I3 Lv - I U - I U Lv
ya-2	y a r yTag fvs1 space y a r yTag fvs1 lvs space y a l yTag fvs1 space y a l yTag fvs1 lvs	I A R Ir - I A R Ir Lv - I A L Ir - I A L Ir Lv
ya-3	y e space y e e space y o space y o o	I E - I E E - I Ob - I Ob Ob

ra-1	r a fvs1 space r a fvs1 lvs space r i space r i lvs space r ue space r ue lvs	R Aa - R Aa Lv - R I3 - R I3 Lv - R U - R U Lv
ra-2	r a r yTag fvs1 space r a r yTag fvs1 lvs space r a l yTag fvs1 space r a l yTag fvs1 lvs	R A R Ir - R A R Ir Lv - R A L Ir - R A L Ir Lv
ra-3	r e space r e e space r o space r o o	R E - R E E - R Ob - R Ob Ob

la-1	l a fvs1 space l a fvs1 lvs space l i space l i lvs space l ue space l ue lvs	L Aa - L Aa Lv - L I3 - L I3 Lv - L U - L U Lv
la-2	l a r yTag fvs1 space l a r yTag fvs1 lvs space l a l yTag fvs1 space l a l yTag fvs1 lvs	L A R Ir - L A R Ir Lv - L A L Ir - L A L Ir Lv
la-3	l e space l e e space l o space l o o	L E - L E E - L Ob - L Ob Ob

